"region","year","avgtmp","tmax","tmin","avgprecip","totalprecip","pmax","pmin","total","drought","drought_percent"
"Mato Grosso","2002",26.3748502459254,32.5396402333234,20.2605859674849,145.895947790355,194333.402456753,580.5,0,1332,323,0.242492492492492
"Mato Grosso","2003",25.9724478363633,32.1340095703308,19.8608111647872,151.135812714114,201312.9025352,511.100006103516,0,1332,316,0.237237237237237
"Mato Grosso","2004",26.1309313258609,32.2939946186077,20.0166670567281,151.442119241717,201720.902829967,561,0,1332,403,0.302552552552553
"Mato Grosso","2005",26.1920424066148,32.3548054337144,20.0778532164233,145.352779266662,193609.901983194,503.800018310547,0,1332,332,0.249249249249249
"Mato Grosso","2006",26.0919673220889,32.2588594396551,19.9756009814975,151.71088768911,202078.902401894,458.399993896484,0,1332,353,0.265015015015015
"Mato Grosso","2007",26.1859613266793,32.351577178852,20.0701205064585,144.585287263013,192587.602634333,406,0,1332,406,0.304804804804805
"Mato Grosso","2008",25.8599853701778,32.0265020822978,19.743393778443,148.965016646909,198421.402173683,477.5,0,1332,370,0.277777777777778
"Mato Grosso","2009",26.0325079250622,32.1804811059534,19.933558902941,154.486338062441,205775.802299172,462.100006103516,0,1332,273,0.204954954954955
"Mato Grosso","2010",26.1973727372316,32.3596852906831,20.0863366871625,145.202328687646,193409.501811944,524.200012207031,0,1332,418,0.313813813813814
"Mato Grosso","2011",26.1608862475948,32.3183940180071,20.0527781595339,153.392193804308,204318.402147338,542.900024414062,0,1332,398,0.298798798798799
"Mato Grosso","2012",26.1051805413163,32.2567573639008,20.0031535367708,145.669971633691,194032.402216077,449.399993896484,0,1332,356,0.267267267267267
"Mato Grosso","2013",26.1415919785027,32.2855861623724,20.0466970710067,143.259611085001,190821.801965222,566.400024414062,0,1332,346,0.25975975975976
"Mato Grosso","2014",26.3826580505829,32.5237994122434,20.290766145374,149.153229788455,198672.102078222,417.399993896484,0,1332,322,0.241741741741742
